content,text_akhir,label
"apa-apaan sih ini by. u jaringan tiba2 hilang, ga bisa dipake, udah beli kouta mahal2 malah ga bisa dipake, bikin geram aja, di restart di mode pesawan jaringan tetep ga mau muncul, emang ajing banget, gue udah geram bangt, beberapa minggu terakir sering kyak gini sinyal tiba2 hilang dan gabisa buat ngapa2in. PARAH POKOKNYA PARAH. 😡😡😡",apaapaan lu jaringan hilang enggak NEG_dipakai beli kouta mahal enggak NEG_dipakai bikin geram restart mode pesawan jaringan enggak NEG_muncul ajing banget gue geram banget minggu terakir kayak sinyal hilang enggak NEG_mengapai parah pokoknya parah,negative
"Untuk jaringan sebenernya gaada masalah, aman aman aja, kenceng kenceng aja. Tapi belakangan ini, ketika mau isi paket data, harga nya terus naik dan jarang ada paket yang rekomen/worth it buat dibeli. Ketika awal pake masih banyak paket yang selalu saya rebuy/beli ulang, namun ketika seiring menggunakan aplikasi atau beli paket di aplikasi, harga nya malah terus naik tapi paket data yang diberikan turun.",jaringan enggak NEG_aman aman kencang kencang isi paket data harga jarang paket rekomenworth dibeli pakai paket rebuybeli ulang seiring aplikasi beli paket aplikasi harga paket data turun,negative
"apps plenger, batas waktu pembayaran gj, pesanan udah ditunggu 1 harian gak dibayar malah waktunya nambah sendiri, gak otomatis batal. trus pas mau ganti metode bayar pakai DANA, saya coba relog malah nyangkut. muncul pop up disuruh buat pesanan baru tapi tombol okenya dipencet berkali² gak respon sama sekali. Rincian harga juga nge blank. tolong segera di fixbugnya. juwelek bngett sampah",apps plenger batas pembayaran gj pesanan ditunggu harian enggak NEG_dibayar menambah enggak NEG_otomatis batal pas ganti metode bayar pakai dana coba relog nyangkut muncul pop disuruh pesanan tombol okenya dipencet berkali² enggak NEG_respon rincian harga nge blank tolong fixbugnya juwelek banget sampah,negative
"saya penguna byu sejak tahun 2020. Sempat merekomendasikan byu ke teman, karena sinyal baik harga paket data murah dan bervariasi. Tapi setahun belakangan ini sinyal jadi sering lelet dan aplikasi sering error dan selalu log out. anda telah keluar.... kuota tidak konsisten, kadang bekurang kadang bertambah. seneng kuota masih banyak teryata pas dicek lagi tinggal sedikit dan sinyal 4g sering ngilang.",penguna byu merekomendasikan byu teman sinyal harga paket data murah bervariasi setahun sinyal lelet aplikasi error log kuota tidak NEG_konsisten kadang bekurang kadang bertambah senang kuota teryata pas dicek tinggal sinyal enggak NEG_menghilang,negative
"awal' beli emang sinyalnya bagus ngga buruk,tpi lama kelamaan sinyalnya buruk kadang ngilang' sendiri bisa sampai 3-4 jam an apalagi kalo lagi malem,dimana-mana juga sinyalnya jelekk,aku kira dirumahku aja yang jelek tpi setiap lagi main juga ttp jelek.",beli sinyalnya bagus enggak NEG_buruktpi sinyalnya buruk kadang menghilang jam kalo malemdimanamana sinyalnya jelekkaku dirumahku jelek main jelek,negative
"Aplikasinya sering lelet kalo dibuka. Paket datanya agak mahal dari provider lain, sinyalnya kenceng buat download tapi ga stabil kadang bisa 5G, kadang ke 4G+, 4G, kalo cuaca lagi jelek kadang malah gaada sinyal/E. Masa kalah sama Three sama XL (di HP satunya) sinyalnya makin kesini makin meningkat, udah jarang banget nemu kendala. Ini baru nyoba byU malah dah dikasih kesan buruk. Ditingkatin lah minimal aplikasinya kalo dibuka gampang cepet masuknya, padahal dah dapet nomer bagus -_-",aplikasinya lelet kalo dibuka paket datanya mahal provider sinyalnya kencang download enggak NEG_stabil kadang enggak NEG_kadang enggak enggak NEG_kalo cuaca jelek kadang enggak NEG_sinyale kalah three xl hp satunya sinyalnya kesini meningkat jarang banget nemu kendala mencoba byu deh dikasih kesan buruk ditingkatin minimal aplikasinya kalo dibuka gampang cepat masuknya deh nomer bagus,negative
"awal pake by U sinyal nya oke banget gak ada kendala, harga juga murah, tapi sekarang sinyalnya susah kadang malah disuruh periksa jaringan terus kok gitu ya?? ditambah skrg suka ke log out sendiri saat mau log in malah nge stuck gak masuk² ke menu nya 🤦‍♀️ sangat kecewa & mohon tlg diperbaiki !",pakai lu sinyal oke banget enggak NEG_kendala harga murah sinyalnya susah kadang disuruh periksa jaringan ditambah suka log log nge stuck enggak NEG_masuk² menu kecewa mohon tolong diperbaiki,negative
"Dulu sinyalnya bagus banget sekarang sinyalnya gampang hilang , padahal di lokasi yang potensi stabil , sinyalnya makin hari makin busuk banget , terakhir kali deh pakai provider ini , bukannya mempermudah konsumen yang ada malah mempersulit , parah parah , masak iya data seluler tiba tiba sering hilang , terus harus konek wifi dulu , parah parah 🤣🤣🤣🤣🤣",sinyalnya bagus banget sinyalnya gampang hilang lokasi potensi stabil sinyalnya busuk banget kali deh pakai provider mempermudah konsumen mempersulit parah parah masak data seluler hilang konek wifi parah parah,positive
"Halo min, mau kasih masukan sedikit soal tampilan menu di home screen. Awalnya saya sempat bingung cari cari fiturnya, jadi kayaknya butuh adaptasi ekstra. Kalau bisa, UI nya dibikin lebih clean, minimalis, dan ringkas saja supaya makin efisien dipakai. Contohnya kayak penyusunan di aplikasi si merah itu sudah bagus banget. Semoga bisa segera diperbaiki ya, Min TERIMAKASIH ✨🙏🏻",halo min kasih masukan tampilan menu home screen bingung cari cari fiturnya kayaknya butuh adaptasi ekstra ui dibikin clean minimalis ringkas efisien dipakai contohnya kayak penyusunan aplikasi merah bagus banget semoga diperbaiki min terimakasih,positive
"bukannya tambah membaik, malah tambah buruk—jaringan suka hilang sendiri, dan paling utama, aplikasinya nge-stuck gak bisa dibuka, kalau bisa…saya kasih bintang minus sekalian, jelek amat—udahlah paket internetnya makin mahal, bukannya tambah bagus, malah tambah jelek.",membaik burukjaringan suka hilang utama aplikasinya ngestuck enggak NEG_dibuka bisasaya kasih bintang minus jelek amatudahlah paket internetnya mahal bagus jelek,negative
"Setuju bgt sama ulasan mengecewakan sblm saya. Aplikasi nya Update mulu, tapi pilihan kuota Terjangkau bagi Pelajar ga ada. pilihan kuota nha itu itu aja ga ada yg menarik, msh kurang merakyatnya. terimakasih. 1 lagi jangan keseringan update klo ga ada promo mingguan atau bulanan yg menarik!",setuju banget ulasan mengecewakan aplikasi update mulu pilihan kuota terjangkau pelajar enggak NEG_pilihan kuota enggak NEG_menarik kurang NEG_merakyatnya terimakasih jangan NEG_keseringan update kalo enggak NEG_promo mingguan bulanan menarik,negative
"pemakaian dri pertama by u ada.. selalu rekomendasi ke semua org karna.. 1. Harga Paket internet sangat terjangkau bgt 2. jaringan stabil 3. aplikasi mantap 4. bisa tetep isi kuota via aplikasi walau kuota 0 dan gk makan pulsa.. dan sekarang hilang semua.. rencana dalam 1 bulan terakhir klo gk ada perbaikan mau ganti provider.. rekomendasi apa yg bagus kira"" apa ya?",pemakaian lu rekomendasi orang harga paket internet terjangkau banget jaringan stabil aplikasi mantap isi kuota via aplikasi kuota enggak NEG_makan pulsa hilang rencana kalo enggak NEG_perbaikan ganti provider rekomendasi bagus,positive
"Tambah ke nomor by.u niat biar gk lag tapi ternyata sama aja, beda sama yg dulu. Malah lebih lemot parah dari ind*sat, batang full 4G tapi udh kaya E jaringannya. Dibuat game ping nya merah terus. Udh berkali2 on-off mode pesawat gk ngaruh. Saldo pulsa masih banyak, dibeli buat paket jg percuma, dikirim ke operator lain gk bisa sombong bgt.",nomor byu niat biar enggak NEG_lag beda lemot parah indsat batang full enggak NEG_kayak e jaringannya game ping merah berkali onoff mode pesawat enggak NEG_ngaruh saldo pulsa dibeli paket dikirim operator enggak NEG_sombong banget,negative
"awal nya byu ini bagus""aja,tapi sekarang udah banyak masalah,suka log out sendir,beli pulsa tapi di apk gak masuk,terus sistem nya sering eror,gak bisa buat mau beli data atau paket nya,plis udah ga suka lagi pake byu ini,mana paket nya sering tiba""habis padahal gak di pake samsek tapi habis aja kuotanya cepat,udah gak rekom lagi byu ini",byu bagusajatapi masalahsuka log sendirbeli pulsa apk enggak NEG_masukterus sistem erorgak beli data paket nyaplis enggak NEG_suka pakai byu inimana paket tibahabis enggak NEG_pakai samsek habis kuotanya cepatudah enggak NEG_rekom byu,negative
"pas awal pake ngerasa puas banget, selain murah, jaringannya bagus, tapi after beberapa bulan pemakaian pas buka aplikasi lambat,makin mahal, teks/gambar ga muncul full, jaringannya lambat bahkan bisa ilang, padahal kuotanya masih, dan koinku suka ilang sendiri, huhh semoga kedepannya lebih baik",pas pakai puas banget murah jaringannya bagus pemakaian pas buka aplikasi lambatmakin mahal teksgambar enggak NEG_muncul full jaringannya lambat hilang kuotanya koinku suka hilang huhh semoga kedepannya,positive
"maaf saya kasih 1 aja karena udh langganan lama hampir 6th tp kualitas secara global yg dirasakan makin turun, sinyal makin buruk, APPS juga makin ngaco sering muncul ""lokasi terdeteksi berbeda"".. ngeload banner depan lama banget bisa 10menit lebih ngga mbuka² akhir saya close lagi Apps nya padahal niat mau beli paket data tp entah ini images kualitas HD berapa GB yg diload kok ngga mbuka². akan saya perbaiki bintang penilaiannya jika pelayanan juga diperbaiki. Terimakasih",maaf kasih langganan kualitas global dirasakan turun sinyal buruk apps mengaco muncul lokasi terdeteksi berbeda ngeload banner banget menit enggak NEG_mbuka² close apps niat beli paket data images kualitas hd gb diload enggak NEG_mbuka² perbaiki bintang penilaiannya pelayanan diperbaiki terimakasih,negative
"gak sekali gak dua kali bahkan lebih !! sinyal tiba tiba ilang sendiri , hape d restart pun juga tetep ilang sinyaknya.. harga paket udah mahal tapi sinyal blonk !!! kapok !!! gak lagi deh pakai provider ini... ilang sinyal bisa 2-3x dalem sehari !!!",enggak enggak NEG_kali sinyal hilang hape restart hilang sinyaknya harga paket mahal sinyal blonk kapok enggak NEG_deh pakai provider hilang sinyal kali dalem sehari,negative
"Aplikasi sering error. Pulsa sudah ada, mau beli kuota malah terus muncul pop-up “periksa jaringan”. Padahal jaringan normal dan aplikasi lain lancar. Ironis sekali: sudah siap bayar, tapi aplikasi sendiri yang menghalangi transaksi. Hal sesederhana beli kuota saja dibuat ribet. Sangat mengganggu.",aplikasi error pulsa beli kuota muncul popup periksa jaringan jaringan normal aplikasi lancar ironis bayar aplikasi menghalangi transaksi sesederhana beli kuota ribet mengganggu,negative
"Tidak bisa dibuka apknya, sinyal stabil, penyimpanan masih banyak, sudah dicoba untuk di uninstall trus instal lagi, udah dicoba hapus cache, hapus histori, hapus data, nyala matikan mode pesawat, nyala matikan HP (Restart HP) namun tetap saya tidak bisa membuka apk nya stuck di bagian logo.",tidak NEG_dibuka apknya sinyal stabil penyimpanan dicoba uninstall instal dicoba hapus cache hapus histori hapus data nyala matikan mode pesawat nyala matikan hp restart hp tidak NEG_membuka apk stuck logo,negative
"Belakangan ini by.U suka lag apalagi kalau bermain game seperti Mobillegends atau Freefire jaringan suka naik 200ms, tolong diperbaiki kualitas jaringannya di daerah cipayung. Sudah mencoba segala cara dari mengubah jaringan 2G lalu ubah ke 4G tetap sama tidak ada perubahan.",byu suka lag bermain game mobillegends freefire jaringan suka tolong diperbaiki kualitas jaringannya daerah cipayung mencoba mengubah jaringan enggak NEG_ubah enggak tidak NEG_perubahan,negative
"update terbaru setelah 2-3thn ini bertahan pakai by.u, makin lama makin ngeselin banget. mulai dari sinyal yang makin jelek, kenaikan harga hingga nyaris 50% bahkan lebih dalam kurun waktu singkat, apknya yang log-out sendiri ketika di log-in susahnya masyaallah, dan puncaknya hari ini, aku ngisi pulsa dalam keadaan data nyala, pulsanya langsung hilang, aku lagi urgent dan disini hujann! padahal selama beberapa thn pakai, pulsa ngga pernah hilang. apk tuh di update makin baik bkn makin jelek!!",update terbaru bertahan pakai byu mengesalkan banget sinyal jelek kenaikan harga kurun singkat apknya logout login susahnya masyaallah puncaknya ngisi pulsa data nyala pulsanya langsung hilang urgent hujann pakai pulsa enggak NEG_hilang apk tuh update bukan NEG_jelek,negative
"maaf kak, aplikasinya akhir-akhir ini sering error. selain lemot, akun sering keluar masuk, juga waktu chat nindy untuk mencari solusi seringkali jawabannya tidak muncul/ tidak sesuai. habis itu, paket data yang saya beli juga tidak bisa digunakan, padahal sudah mengikuti langkah solusi yang diberikan. padahal jumlah paket data yang tersisa tergolong banyak... sudah terjadi 2 bulanan ini. bagaimana ya kak solusinya?",maaf kak aplikasinya akhirakhir error lemot akun masuk chat nindy mencari solusi seringkali jawabannya tidak NEG_muncul tidak NEG_sesuai habis paket data beli tidak NEG_mengikuti langkah solusi paket data tersisa tergolong bulanan kak solusinya,negative
"Makin parah min, terakhir kali kasih bintang 1 cuma sinyal gak stabil sekarang, sekarang sinyal mati mulu, mana harga lebih naik lagi daripada Januari kemarin, datanya makin sedikit, masa aktifnya gak ada yang beneran sebulan. Ditambah akun by.U selalu LOG OUT gajelas, tiap kali mau cek data doang harus login ulang mulu. Udah merasa di titik dimana rasanya sudah saat yg tepat ganti provider, mau hapus by.u tapi masih mau habisin data yang masih ada sekarang.",parah min kali kasih bintang sinyal enggak NEG_stabil sinyal mati mulu harga januari kemarin datanya aktifnya enggak NEG_benaran sebulan ditambah akun byu log enggak NEG_kali cek data doang login ulang mulu titik dimana ganti provider hapus byu habisin data,negative
"keluhan sebelum nya sudah diperbaiki, beberapa hari kemudian muncul lagi, saat data sedang di nyalakan/digunakan, tiba² saja tidak ada layanan, sudah di mode pesawat beberapa kali tetap saja tidak muncul indikator data nya, harus nunggu aga lama, bahkan harus di registrasi ulang, itupun tidak langsung bisa dinyalakan harus menunggu beberapa saat, ini termasuk kesalahan dari pihak by u atau bukan, jika iya tolong di perbaiki secepatnya, soalnya sangat menggangu, padahal sebelumnya saja tidak prnh",keluhan diperbaiki muncul data nyalakandigunakan tiba² tidak NEG_layanan mode pesawat kali tidak NEG_muncul indikator data menunggu aga registrasi ulang itupun tidak NEG_langsung dinyalakan menunggu kesalahan lu bukan NEG_tolong perbaiki secepatnya menggangu tidak,negative
"mahal banget ga masuk akal, mana sinyalnya suka ilang ilang gitu, ga stabil, nyesel banget pake by. u 😀 gabakal rekomendasiin ke temen deh, pas awal pemakaian harga masih terjangkau bahkan setara dengan kartu lain, tapi makin lama malah ngelunjak, mana gabisa buka aplikasi tanpa kouta/wifi lagi, ga banget WKWKWK",mahal banget enggak NEG_masuk akal sinyalnya suka hilang hilang enggak NEG_stabil menyesal banget pakai lu enggak NEG_rekomendasikan teman deh pas pemakaian harga terjangkau setara kartu ngelunjak enggak NEG_buka aplikasi tanpa NEG_koutawifi enggak NEG_banget wkwkwk,negative
"saya sebenernya seneng ketika pake by.u beberapa tahun belakang tapi makin kesini entah mengapa jaringan by.u sering kali hilang bahkah sinyal sim card nya pun tidak terbaca oleh handphone..,, lalu saya paling kesal ketika baru saja membeli kouta di aplikasi by.u beberapa menit kemudian sinyal nya hilang dan saya harus menunggu beberapa hari baru muncul lagi. call center pun tidak memenuhi untuk bantuan sayaa!!!",senang pakai byu kesini jaringan byu kali hilang bahkah sinyal sim card tidak NEG_terbaca handphone kesal membeli kouta aplikasi byu menit sinyal hilang menunggu muncul call center tidak NEG_memenuhi bantuan,negative
sumpah min aku ga mau komplain gni tp bisa ga ya itu pop up jaringan jangan kaya gitu muncul hampir menuhin layar??? akunya yg ga ad paketan dan wifi mau ganti koin tu ketutupannn harus balapan sm notifikasi itu. biss ga si notifikasinya di ganti biasa saja pop up di bagian atas. ini mengganggu sekali.,sumpah min enggak NEG_komplain enggak NEG_pop jaringan jangan NEG_kayak muncul menuhin layar akunya enggak NEG_paketan wifi ganti koin ketutupan balapan notifikasi biss enggak NEG_notifikasinya ganti pop mengganggu,negative
"provider aneh, terkadang sinyal nya bisa terkadang kagak. pas di pake sosial media ga bisa, padahal ada lambang 4G nya sama kouta udah keisi. sama main game saja lag mulu, kalau saat di diemin/udah tereliminasi langsung lancar sinyal nya, yaudah gw balik ke provider tri daripada By u karena sinyal nya yang sukanya goib. sekali lagi, PROVIDER ANEHHH!!!!",provider aneh terkadang sinyal terkadang kagak pas pakai sosial media enggak NEG_lambang enggak NEG_kouta keisi main game lag mulu dieminudah tereliminasi langsung lancar sinyal yaudah gue provider tri lu sinyal sukanya goib provider aneh,negative
"Loading app lama, Kuota topping yg selalu tdk bisa dipakai semua krn manipulasi operator mau ambil yg sehari atau lebih, rata rata sekitar 400 MB yg mubazir. Mau beli paket di aplikasi, loading belum selesai langsung dijegal oleh pesan peringatan ; Ups, ada masalah jaringan! Coba buka kembali aplikasi by.U Anda atau aktifkan dan matikan mode pesawat di perangkat Anda Periksa Jaringan. yg selalu muncul tiba2 & sulit dihilangkan Krn selalu muncul nonstop bahkan saat kuota masih tersisa >2gb",loading app kuota topping tidak NEG_dipakai manipulasi operator ambil sehari mbak mubazir beli paket aplikasi loading belum NEG_selesai langsung dijegal pesan peringatan ups jaringan coba buka aplikasi byu aktifkan matikan mode pesawat perangkat periksa jaringan muncul sulit dihilangkan muncul nonstop kuota tersisa gb,negative
"sinyal bagus, tapi aplikasi gak bisa dibuka, udah hapus cache, hapus data, update, bahkan uninstall masih tetep gak bisa👎 baru belom lama disanjung karena sinyal bagus, lancar, skrg kalau jam 10 malam knp tbtb hilang, sinyal full tp keterangan E, BY U ANEH TAPI NYATA beneran gk tuh, gk ada pergerakan bener"" kek gk punya kuota pdhl kuota masih 40GB. perbaiki dong segera, iya sih gk lama, tapi itu mengganggu banget plisss😤",sinyal bagus aplikasi enggak NEG_dibuka hapus cache hapus data update uninstall enggak belum NEG_disanjung sinyal bagus lancar jam malam tbtb hilang sinyal full keterangan e lu aneh nyata benaran enggak NEG_tuh enggak NEG_pergerakan kayak enggak NEG_kuota kuota gb perbaiki enggak NEG_mengganggu banget plis,negative
"kualitas sinyal sangat buruk,sangat teramat kecewa dengan kualitas sinyal by.u ini sering gangguan kecepatan sinyal terus menurun, sebenarnya niat ga bikin jaringan internet kalau niat tolong perbaiki kualitas sinyal nya masa sinyal penuh tapi kecepatan Mbps nya rendah",kualitas sinyal buruksangat teramat kecewa kualitas sinyal byu gangguan kecepatan sinyal menurun niat enggak NEG_bikin jaringan internet niat tolong perbaiki kualitas sinyal sinyal penuh kecepatan mbps rendah,negative
"Untuk Kalian yang pengen pake Bayu terutama di daerah Jabar, Jangan pernah pake dan beli kartu By u, Kenapa? 1. Harga paket relatif mahal + Paket yang diberikan tidak worth it dengan apa yang kita bayarkan. 2. Jaringan Sinyal Yg kadang hilang, Terutama pada jam tengah malam, sinyal hilang bisa sampai 2 jam penuh. 3. Kekuatan sinyal jaringan yang tiba tiba lemah sampai kekuatan sinyal hanya 0,06kb/s. Kualitas dan harga yang kita bayarkan tidak sepadan.",pengin pakai bayu daerah jabar jangan NEG_pakai beli kartu lu harga paket relatif mahal paket tidak NEG_worth bayarkan jaringan sinyal kadang hilang jam malam sinyal hilang jam penuh kekuatan sinyal jaringan lemah kekuatan sinyal kbs kualitas harga bayarkan tidak NEG_sepadan,negative
"sengaja aku kasih bintang 5 biar pada baca semuanya, nih by.u jaringan nya bapuk jelek banget makin hari makin jelek tiap tengah malam tiba² jaringannya hilang lalu muncul terus hilang lagi. di tambahkan kadang gada muncul 4G sampe 3-4 jam ini jujur kartunya hanya bagus saat awal beli selebihnya makin hari & makin lama makin jelek banget jaringannya sangat tidak rekomendasi, serta sistem nya kalo isi kuota lewat vocer kadang ga masuk karena gangguan dan kadang juga kuota tiba² habis",sengaja kasih bintang biar baca nih byu jaringan bapuk jelek banget jelek malam tiba² jaringannya hilang muncul hilang tambahkan kadang enggak NEG_muncul enggak NEG_jam jujur kartunya bagus beli selebihnya jelek banget jaringannya tidak NEG_rekomendasi sistem kalo isi kuota vocer kadang enggak NEG_masuk gangguan kadang kuota tiba² habis,negative
"aku pemakai by.u dari tahun 2023,awal make tuh murah2,jaringan nya juga lancar2 aja tapi lama2 kuota nya pada mahal2,naik semua,jaringan nya juga suka tiba2 hilang,aku kecewa sih dengan by.u yang sekarang,padahal di awal banyak promo yang murah,tapi sekarang pada di naikin semua jaringan juga jelek banget sekarang",pemakai byu memakai tuh murahjaringan lancar kuota mahalnaik semuajaringan suka hilangaku kecewa byu sekarangpadahal promo murahtapi naikin jaringan jelek banget,negative
"Hallo by.U awalnya saya pakai by.U karna harga yang terjangkau dan kualitas jaringan yang sangat bagus, tetapi beberapa bulan terakhir harganya semakin naik dan kualitas jaringan yang semakin buruk, di Tambah saat buka apk by.U sangatlah lemot dan sulit sehingga membuat saya harus hapus download agar dapat membuka apknya, mohon perbaikannya karna ini membuat saya kecewa kurang nyaman, terimakasih sebelumnya by.U🙏🏻",halo byu pakai byu harga terjangkau kualitas jaringan bagus harganya kualitas jaringan buruk buka apk byu lemot sulit hapus download membuka apknya mohon perbaikannya kecewa kurang NEG_nyaman terimakasih byu,positive
"kecewa., sudah berhari-hari kartu g bisa akses internet walaupun bar nya penuh kuota diatas 30Gb tp logo 4G tidak muncul.., malah kadang muncul tanda silang ., udah coba ganti slot SIM tetep g bisa, malah nyoba pake kartu lain normal., mencoba cari solusi lewat chat Nindy sama sekali tidak ada balasan., masih berharap ada perbaikan kalo ga kuota saya yg sebanyak itu hangus donk klo udah masa nya habis.., masa sih harus kehilangan kepercayaan para pelanggan dulu baru ada perbaikan..,",kecewa berharihari kartu enggak NEG_akses internet bar penuh kuota diatas gb logo enggak tidak NEG_muncul kadang muncul tanda silang coba ganti slot sim enggak NEG_mencoba pakai kartu normal mencoba cari solusi chat nindy tidak NEG_balasan berharap perbaikan kalo enggak NEG_kuota hangus kalo habis kehilangan kepercayaan pelanggan perbaikan,negative
